currentGen,meanFitness,meanTime
0,0.003266323129957586,0.00019003629684448243
1,0.002910034086357943,0.0005801868438720703
2,0.002494806384362701,0.0009102511405944824
3,0.001974486592206769,0.0013103652000427245
4,0.0015957736481409393,0.0017403101921081544
5,0.0013578196963314163,0.0021105194091796875
6,0.0011375270074676616,0.002550628185272217
7,0.0009634386221926596,0.003060760498046875
8,0.0007279685108578048,0.0033608269691467285
9,0.0006562483627592791,0.0037909889221191405
10,0.0005475947116719498,0.004161155223846436
11,0.00045618318316332986,0.004511260986328125
12,0.0003803002432358056,0.004941370487213135
13,0.0003059118905631085,0.00536135196685791
14,0.0002695303244941831,0.00574138879776001
15,0.00024259794488559202,0.006171605587005615
16,0.00021598068731790902,0.006571700572967529
17,0.00017807489188618637,0.0069017505645751955
18,0.0001647445958383616,0.007321779727935791
19,0.0001380897449001042,0.007701866626739502
20,0.00011064383417485153,0.008101961612701415
21,8.172595216920594e-05,0.0085520339012146
22,6.511295726878206e-05,0.00885232925415039
23,5.512616431851613e-05,0.009362244606018066
24,4.563450178078272e-05,0.009962368011474609
25,3.829317168973036e-05,0.010302436351776124
26,3.145842223038932e-05,0.010732536315917968
27,2.835190386322979e-05,0.011092603206634521
28,2.3485810746787498e-05,0.011472713947296143
29,2.13415532879382e-05,0.011862809658050538
30,1.73536441307689e-05,0.012313051223754883
