currentGen,meanFitness,meanTime
0,0.0030514812480220963,0.00019007444381713868
1,0.0012473893286294925,0.000920102596282959
2,0.0004645440962605528,0.0017101144790649414
3,0.0001868744826107808,0.002500293254852295
4,8.597631060695483e-05,0.003210430145263672
5,4.8750233286611944e-05,0.003990578651428223
6,2.958581396865902e-05,0.004800732135772705
7,2.4155173937789493e-05,0.005710973739624024
8,2.1837045158107967e-05,0.006481125354766846
9,1.988676081791371e-05,0.007291333675384521
10,9.826164823488215e-07,0.008011488914489747
11,4.384293417066002e-07,0.008791637420654298
12,2.8265375524323326e-07,0.009661891460418702
13,1.6686411059725607e-07,0.010472023487091064
14,8.745048142489306e-08,0.011222362518310547
15,3.1356626764966606e-08,0.012002317905426026
16,2.1952750859480587e-08,0.012782552242279054
17,1.4167968930209352e-08,0.013612754344940185
18,1.0191591194133e-08,0.014372897148132325
19,3.305118917920037e-09,0.015173156261444092
20,2.476618307767638e-09,0.016043384075164795
21,1.0143004350811473e-09,0.016753602027893066
22,7.346475285400358e-10,0.017563726902008057
23,3.979153086555741e-10,0.018363919258117676
24,1.8596294109312323e-10,0.01928398132324219
25,1.3160159554470033e-10,0.020084190368652343
26,7.42643974149713e-11,0.020864386558532715
27,5.0514314378046334e-11,0.02160459041595459
28,3.011823222993549e-11,0.022354745864868165
29,2.3480283716676596e-11,0.023044896125793458
30,2.0919962855425258e-11,0.02379506826400757
