currentGen,iteration1,iteration2,iteration3,iteration4,iteration5,iteration6,iteration7,iteration8,iteration9,iteration10,iteration11,iteration12,iteration13,iteration14,iteration15,iteration16,iteration17,iteration18,iteration19,iteration20,iteration21,iteration22,iteration23,iteration24,iteration25,iteration26,iteration27,iteration28,iteration29,iteration30,iteration31,iteration32,iteration33,iteration34,iteration35,iteration36,iteration37,iteration38,iteration39,iteration40,iteration41,iteration42,iteration43,iteration44,iteration45,iteration46,iteration47,iteration48,iteration49,iteration50,iteration51,iteration52,iteration53,iteration54,iteration55,iteration56,iteration57,iteration58,iteration59,iteration60,iteration61,iteration62,iteration63,iteration64,iteration65,iteration66,iteration67,iteration68,iteration69,iteration70,iteration71,iteration72,iteration73,iteration74,iteration75,iteration76,iteration77,iteration78,iteration79,iteration80,iteration81,iteration82,iteration83,iteration84,iteration85,iteration86,iteration87,iteration88,iteration89,iteration90,iteration91,iteration92,iteration93,iteration94,iteration95,iteration96,iteration97,iteration98,iteration99,iteration100,mean
0,0.00028879968324961055,0.00800663819828727,0.0012946249609804695,0.0023614233511907545,0.006079971492129065,0.0023680049941976274,0.008878908751628946,0.011634307115873044,0.005748860454404222,0.0001562039951479715,1.3819959847818402e-05,0.011138357214368436,7.650994086933136e-05,0.004990315892665405,0.0009145910803014227,0.013181889054648661,0.002481793225749207,0.0010170654196815787,0.000992047558553185,8.43015718212842e-05,0.009430660996067887,0.0036969748901388415,0.008216870101388513,0.004224252612711195,0.005964688454939287,0.0013690690816933345,0.010526378779032007,0.003048044144155504,0.004922912674636392,0.0016752068319854936,0.004252341342270292,0.0008846575412747638,0.0020133887018566415,0.002891778666086686,0.005404247924585961,0.0038840967687052115,0.0020749045965875734,0.003162639768015781,0.004530124010719291,0.0007973040399666774,0.0011059459850128173,0.007638183334661184,0.0031545291221989243,0.006178817217226477,0.0008371365529081635,0.0004975448830394268,0.0013226747589242776,0.006946250845790397,0.00014520531040193395,0.00013133991969126828,0.00010946263143791432,0.006324930247470917,0.0008203088132804728,0.0006411127746583626,0.00013346750086500487,0.0023104069987567592,0.008103337248024034,0.0014856367839460435,0.002654370157084438,0.0023205189515601785,0.0011149297761080474,0.01527265590810948,0.0006659688367638345,0.0072285538447641835,0.0017443442690952408,0.006393082692493816,0.0012669177405760994,0.0011409830618166967,0.006173033947094209,0.0065724134389232546,0.0012710209270876032,0.0006438723490208906,0.0023572550657875637,0.00020798023405999927,0.009220978792798573,0.006067512702830944,0.003909020836845336,0.0017310488099827668,3.18439217384847e-05,0.0031200108767850568,0.005390726148902613,0.0024046893241843666,0.00019618533930982742,0.0033887292806151644,0.004051093324155814,0.0033062136476841864,0.005840059711001748,0.007202386154354011,0.0070314316295187135,1.3316829642256166e-05,0.0002131047965850621,0.0008756065308678208,0.003374478958137993,0.0012293557619867188,0.000277453164216436,0.003434159532091774,0.0002585343380281197,0.0034173340789672795,0.0019746670069859217,0.0030740337721258996,0.0035062714324139536
1,0.00028879968324961055,0.00018128084105125056,0.00021175414177073066,0.00087912597576928,0.0041455022508588586,0.0009548223698974563,0.003847166432115393,0.011634307115873044,0.00011694429139916406,0.0001562039951479715,1.3819959847818402e-05,0.0020346791391716375,7.650994086933136e-05,0.0039992885816534755,0.0005973325867050227,0.0002138036170005181,0.002481793225749207,0.0010170654196815787,9.115658984479236e-05,8.43015718212842e-05,0.0069706931651261975,0.003281791045205306,7.877586456203032e-05,0.001140532177684513,0.00027898950460161586,0.0012010095988702872,0.0013033208749415976,0.00010718076134397066,0.00030259740255653643,0.0007311160015648823,0.00024336143883284158,0.0005962734898465741,0.0020133887018566415,0.002891778666086686,6.954846932494853e-05,0.0034376264328282186,0.0020749045965875734,0.0012210114255973355,0.0015579455880172777,0.0007973040399666774,0.0011059459850128173,0.0007475062242671623,0.0031545291221989243,0.0029320118480239874,0.0008371365529081635,0.0004975448830394268,0.0009093187957733549,2.2895144792813078e-05,0.00014520531040193395,0.00013133991969126828,0.00010946263143791432,0.0028611504220954318,0.0006456389808538803,0.0006411127746583626,0.00013346750086500487,0.0023104069987567592,0.0023095939415248715,0.0009625896307976111,0.0003961869587744003,0.0006155755246922288,5.4013684435847475e-05,0.0004914022056439597,0.0006659688367638345,1.5822562215500875e-05,0.0017443442690952408,0.006157205202234319,0.0005214565203780131,0.0002547609816673198,0.0010765728609676366,0.0020789982068942837,0.0003596850834834177,0.0006438723490208906,0.0013155472239153995,0.00020798023405999927,0.00010308368206580477,4.361205748246709e-05,0.002449386334510486,0.0017310488099827668,8.009225208116045e-06,0.0031200108767850568,0.005390726148902613,0.0022626144662935927,0.00019618533930982742,2.81861076599091e-05,0.00033110800428309145,0.0003293607846854903,8.797248150240794e-05,0.00027352697337446676,0.0006185629596968551,1.3316829642256166e-05,0.0002131047965850621,0.0008756065308678208,0.00038345039933111643,0.0012293557619867188,0.000277453164216436,0.0007851578531763427,8.195744071321705e-05,0.0009353417435179894,5.788445764261141e-05,0.0012241838234486563,0.001234312633990923
2,0.00028879968324961055,0.00018128084105125056,0.00021175414177073066,0.0005016315049283566,7.423993880108385e-05,0.00010764536109499377,0.0006417450603528536,0.0004159264467822094,0.00011694429139916406,0.0001562039951479715,1.3819959847818402e-05,1.1109715267709121e-05,7.650994086933136e-05,0.0005396391860586912,0.0005973325867050227,0.0002138036170005181,0.0007098123342336284,0.0010170654196815787,9.115658984479236e-05,6.783237506074915e-06,0.006869198373705885,5.315541946299062e-05,7.877586456203032e-05,0.00015251440500208728,0.00027898950460161586,0.0009814811412324554,0.0013033208749415976,3.0975032901128146e-05,4.980990630588697e-05,5.2347590767483224e-05,2.794016238804167e-05,0.0003198522417823041,0.0020133887018566415,0.002891778666086686,6.954846932494853e-05,0.0025071103490760705,0.000223375005198356,7.61174707013162e-05,0.0005963827991018577,0.0002996762067215499,0.00031480033181201066,0.0007475062242671623,0.0001860011026735985,0.0029320118480239874,2.392912022620467e-06,0.0004975448830394268,0.0006681986679952326,2.109902157597357e-05,0.00014520531040193395,0.00013133991969126828,5.0131504253980366e-05,6.667972136440623e-05,0.0006456389808538803,0.00012534650036735018,0.00013346750086500487,0.0007145735574078167,8.114789273366629e-05,1.9802049702585693e-05,0.00021321078007365422,0.00015181925769732865,9.42328252716114e-07,0.0001726817670301731,0.00013076370305041728,1.5822562215500875e-05,0.0003113353813302892,0.0004603804099627469,0.00019886754545059314,0.0002547609816673198,2.289478345414121e-05,0.0011410860352522355,3.9407076690607956e-05,0.0001262884853796142,0.00023624221873333232,0.00020798023405999927,0.00010308368206580477,4.361205748246709e-05,0.0004454086510554021,0.00011193783813909434,8.009225208116045e-06,0.000847789947276513,4.878015070869371e-05,0.00010438256368203271,9.365565252387601e-05,2.81861076599091e-05,0.00033110800428309145,0.0001234882668936002,8.797248150240794e-05,0.00027352697337446676,0.0006185629596968551,8.176742048314767e-08,0.0001060333441056608,0.0001536521127080333,0.00026166949526493466,0.00018332925733368993,0.00017488695864557993,0.0007851578531763427,6.466078663238038e-05,0.00036515141764106683,5.788445764261141e-05,0.0007939267118811978,0.0004223225224067122
3,9.824502014268963e-05,0.00015107510839211614,5.019901466033687e-06,0.00010148569959427834,7.423993880108385e-05,0.00010764536109499377,0.00042106767813120897,1.9048398644217132e-05,6.519340943848999e-05,7.723988153506132e-06,1.8448290595093137e-06,1.1109715267709121e-05,7.650994086933136e-05,0.00017428931228687328,0.0005973325867050227,2.8611879663999348e-05,5.7494889861200746e-05,0.0010170654196815787,6.789544661308352e-06,6.783237506074915e-06,0.00029193592571151325,5.315541946299062e-05,7.877586456203032e-05,1.347516429326198e-05,4.8542438765964707e-05,0.0008720427099908357,0.0013033208749415976,3.0975032901128146e-05,4.980990630588697e-05,5.2347590767483224e-05,8.318580361257752e-06,0.0003198522417823041,0.00022062573972511228,0.00013336433641863662,6.954846932494853e-05,0.0025071103490760705,0.00013048672418787232,2.3681205609120495e-05,0.0005963827991018577,0.0002271330491486696,3.89045338836569e-06,0.0002673492933307684,0.00016798494377044074,0.0003638704602699748,2.392912022620467e-06,0.00021608505905391082,3.7726418317340624e-05,7.454992495719557e-07,0.00014520531040193395,0.00013133991969126828,5.0131504253980366e-05,2.5932489152470504e-06,0.0006456389808538803,0.00012534650036735018,0.00013346750086500487,0.0004793687356468427,8.114789273366629e-05,4.470657631805072e-06,4.8838201545003806e-05,0.00010019791016920588,9.42328252716114e-07,4.8382186625868566e-05,0.00013076370305041728,1.5822562215500875e-05,0.0003113353813302892,0.00010772451269953792,0.00019886754545059314,0.00022280175133093395,2.289478345414121e-05,0.00013326873245162116,3.9407076690607956e-05,0.00010533445856990002,8.026839119594306e-06,0.00020798023405999927,0.00010308368206580477,4.361205748246709e-05,0.00011468928751487733,0.00010908131176339542,8.009225208116045e-06,0.000847789947276513,8.850301965714669e-06,0.00010438256368203271,9.365565252387601e-05,2.81861076599091e-05,0.00022083252043049226,5.3883737550778805e-05,2.5605384413084213e-05,3.344292413659517e-05,2.20643970198032e-05,3.412600681223093e-08,2.9454234754334793e-05,7.858732323851486e-05,1.561671219606476e-05,0.00016926605317542058,0.00017488695864557993,0.00014052349611194307,4.590878753439144e-05,1.016803273159866e-07,5.788445764261141e-05,0.0004428792199483485,0.00017593115929914467
4,9.763313463536277e-06,0.00015107510839211614,1.7292402954402664e-06,1.77246408627126e-06,3.403561148399447e-05,0.00010764536109499377,0.00042106767813120897,1.9048398644217132e-05,1.4872044574721222e-05,7.467115779552326e-06,1.8448290595093137e-06,1.1109715267709121e-05,4.314381858363556e-05,9.760545761329734e-05,0.00031296916751098384,2.8611879663999348e-05,5.7494889861200746e-05,8.20930230563994e-06,6.789544661308352e-06,6.783237506074915e-06,0.00029193592571151325,4.7872621761668523e-05,7.877586456203032e-05,1.347516429326198e-05,4.8542438765964707e-05,4.408473448134163e-06,9.47821613672607e-05,3.0975032901128146e-05,1.6052517805873084e-05,1.7279722691760492e-05,8.318580361257752e-06,0.00031009256496492823,0.00022062573972511228,0.00013336433641863662,3.246558816049428e-05,0.0025071103490760705,0.00013048672418787232,9.596385080522998e-06,3.7942868885252854e-05,0.0002271330491486696,3.89045338836569e-06,0.000183039063057966,4.173226707456715e-08,0.00014312943522356975,2.392912022620467e-06,1.578389567844721e-05,3.7726418317340624e-05,7.454992495719557e-07,0.00014520531040193395,0.00013133991969126828,2.3727427215851195e-05,2.5932489152470504e-06,3.9201834549635666e-06,9.69858978197411e-05,8.992759933498042e-05,0.00012434177446836399,4.0527133997800716e-05,4.141570494336661e-06,4.8838201545003806e-05,4.051953998138494e-05,9.42328252716114e-07,4.8382186625868566e-05,0.00013076370305041728,3.311261033829465e-06,4.493806297472653e-05,3.7811699059822474e-05,0.00010823395878506006,0.00011245942867023986,2.289478345414121e-05,6.300619244414838e-05,3.767973812788769e-05,3.477241623333117e-06,8.026839119594306e-06,6.0060978526958786e-05,1.1600705277488416e-05,1.4164364129894125e-05,1.1116923948616572e-05,5.916301900746626e-05,4.796966042564942e-06,6.329031721523327e-05,8.850301965714669e-06,3.3059962203729436e-05,9.365565252387601e-05,1.688967269050826e-05,9.637174506026997e-05,5.3883737550778805e-05,1.2642954048581434e-05,3.344292413659517e-05,4.571458835219162e-06,2.6504949026185163e-09,6.317063688282752e-06,1.4455656171865942e-05,1.1624064344303503e-05,7.076222690908527e-05,2.9262837155100127e-05,0.00014052349611194307,4.590878753439144e-05,1.016803273159866e-07,1.3260326520768542e-06,2.428460983527484e-05,8.28714971543248e-05
5,9.763313463536277e-06,5.479070779536888e-05,1.0632536053216063e-06,1.77246408627126e-06,2.650681877517823e-05,4.023154609992579e-07,0.0004079030737474212,1.7182987387092487e-05,1.4872044574721222e-05,2.9829464935647802e-06,1.8448290595093137e-06,9.620038522820858e-06,3.388941557584501e-05,7.050457095052995e-05,4.4805520553806195e-06,2.8611879663999348e-05,8.714351247749038e-06,8.209302305639935e-06,6.789544661308352e-06,6.783237506074915e-06,0.00029193592571151325,3.486270788369134e-05,7.877586456203032e-05,1.5750374891703317e-06,4.930131268814586e-06,4.408473448134163e-06,9.47821613672607e-05,8.959856215703044e-06,1.3260611265820814e-06,1.7279722691760492e-05,5.797510799178554e-06,0.00030840032097082925,0.00012344483669873347,1.971802207982136e-05,2.4644421447964465e-05,2.3247863186376666e-06,6.21339367872409e-05,4.149507370554941e-08,1.0136674361053694e-05,0.00022558217011781095,3.89045338836569e-06,0.00013385940867349008,4.173226707456715e-08,0.00010577990618052731,2.0249790845073715e-06,6.23999084995835e-07,2.2699421542094475e-05,7.454992495719557e-07,0.00014520531040193395,2.488282359878581e-05,8.255790707071533e-06,2.5932489152470504e-06,3.9201834549635666e-06,4.014017277393183e-05,8.992759933498042e-05,1.4175714139454183e-07,1.7830672585100145e-07,1.0671021033474625e-06,2.4864041683045125e-06,1.8987872722860707e-05,9.42328252716114e-07,4.2487597738022505e-05,1.641875354123953e-05,3.311261033829465e-06,4.493806297472653e-05,5.271387608085565e-06,1.2730397385345189e-05,5.140474123340676e-06,2.289478345414121e-05,6.153090986136622e-05,1.4995249197563144e-05,3.477241623333117e-06,2.730467784122429e-06,6.0060978526958786e-05,1.1600705277488416e-05,1.361621427800752e-05,7.447937442452083e-07,2.2009377694604773e-06,2.620693767656636e-06,6.329031721523327e-05,4.397289828876653e-06,3.1367470333255395e-05,9.848515155610225e-06,3.248083609249655e-06,2.1859423382101037e-05,2.89687299670995e-06,7.604663446472322e-06,5.59504495153688e-06,4.571458835219162e-06,2.6504949026185163e-09,2.6946237426343658e-06,1.4455656171865942e-05,4.548242739408357e-06,1.9895081188999664e-05,2.9262837155100127e-05,0.00014052349611194307,4.590878753439144e-05,1.016803273159866e-07,5.984952567812765e-07,1.0588448494754999e-05,3.3961721117912815e-05
6,1.371292279722108e-06,5.479070779536888e-05,6.145243609110809e-07,1.77246408627126e-06,2.650681877517823e-05,4.023154609992579e-07,0.00015765717726420306,1.7182987387092487e-05,1.6567394804336146e-06,8.047771152742669e-07,1.8448290595093137e-06,2.406194929177957e-06,5.933948271413103e-06,4.193453517281081e-06,4.4805520553806195e-06,2.8611879663999348e-05,8.714351247749038e-06,1.5019964017616304e-06,1.5900353839041799e-06,7.06423491150147e-07,0.00029193592571151325,1.2702897986571303e-06,9.04359917747922e-06,9.002763184404744e-07,4.930131268814586e-06,4.408473448134163e-06,3.150142919828834e-05,1.292785401826805e-07,8.166638092393078e-07,1.7279722691760492e-05,2.885670239401846e-06,0.00030840032097082925,9.966813612243967e-06,7.530029601353663e-06,9.538273801934426e-06,2.3247863186376666e-06,8.288831345751811e-06,4.149507370554941e-08,2.466209803642263e-06,0.00022558217011781095,1.1020363411319345e-06,3.5082242232561104e-05,4.173226707456715e-08,9.333207320289796e-05,1.9081409567549824e-06,6.23999084995835e-07,4.6589964792912856e-06,1.0107301771960367e-07,0.00014520531040193395,7.312339284317255e-06,2.2229054757025926e-06,2.5932489152470504e-06,3.9201834549635666e-06,2.0821440844278125e-05,2.682668185241821e-05,1.4175714139454183e-07,6.701880176639669e-08,1.8210582592139122e-07,2.4864041683045125e-06,5.298794011722205e-06,9.42328252716114e-07,1.146977615318553e-05,1.5314994221000564e-07,1.149175390540895e-06,1.8718949543680188e-05,5.271387608085565e-06,5.767581711239277e-06,5.140474123340676e-06,1.4864171740420338e-07,1.6126434090390655e-05,5.636822219876927e-06,3.477241623333117e-06,2.730467784122429e-06,1.584831263591591e-05,1.9302791560688138e-07,2.5129119747386345e-07,7.447937442452083e-07,3.3248970760454534e-07,5.911732036277372e-07,3.386711740243637e-06,4.397289828876653e-06,3.748419129153558e-06,3.3208580784308433e-07,3.248083609249655e-06,2.1859423382101037e-05,2.89687299670995e-06,1.2470807069696174e-06,5.59504495153688e-06,2.7460876999339383e-06,2.6504949026185163e-09,8.780438878419916e-08,8.044193176714985e-07,4.548242739408357e-06,1.773375501928312e-05,9.156173158941243e-06,0.00011816609425206433,7.724193920912078e-07,1.016803273159866e-07,5.984952567812765e-07,6.058176722099845e-06,1.9180928721215593e-05
7,1.371292279722108e-06,2.535143732141949e-06,6.145243609110809e-07,1.6214138927479212e-06,3.5208539125818254e-06,4.023154609992579e-07,2.269852204017204e-05,1.9533543892705545e-07,1.6567394804336146e-06,8.047771152742669e-07,4.5798608747483373e-07,2.14673409683581e-08,4.056386546446936e-06,4.193453517281081e-06,4.4805520553806195e-06,1.1660955495676773e-05,8.714351247749038e-06,1.5019964017616304e-06,1.4451675718870541e-08,7.06423491150147e-07,0.00029193592571151325,1.2702897986571303e-06,1.4804602997220745e-07,8.483517395694574e-08,4.930131268814586e-06,4.408473448134163e-06,2.8874235598851957e-06,1.292785401826805e-07,5.555828703488538e-07,1.7578329032311455e-06,6.062327588723104e-07,1.0548123625242189e-05,9.966813612243967e-06,3.6285667655286497e-06,1.2840045470913942e-07,2.3247863186376666e-06,2.3747106582649293e-06,4.149507370554941e-08,6.703699220950262e-07,0.00022558217011781095,9.166958862051865e-07,1.0505843758536234e-05,4.173226707456715e-08,1.7479655930296874e-05,9.128140735519067e-07,6.23999084995835e-07,4.349616888914538e-08,1.0483241948591587e-08,0.00010677581383769288,7.312339284317255e-06,1.6929146218865527e-07,2.5932489152470504e-06,3.9201834549635666e-06,1.2720436294928476e-05,2.682668185241821e-05,1.4175714139454183e-07,6.701880176639669e-08,6.51432198785744e-08,6.877758520324832e-07,5.298794011722205e-06,9.42328252716114e-07,1.2743174978917017e-06,1.5314994221000564e-07,2.13849822323798e-07,1.8718949543680188e-05,3.191653064916637e-06,5.767581711239277e-06,2.33053379423284e-06,1.4864171740420338e-07,1.6126434090390655e-05,2.1613338792879553e-06,6.423704963895643e-07,2.9021089321417663e-07,1.1369637664779553e-05,1.9302791560688138e-07,2.5129119747386345e-07,7.447937442452083e-07,3.3248970760454534e-07,6.379908734731372e-08,3.386711740243637e-06,2.895611075309595e-06,3.6848439942196276e-06,3.3208580784308433e-07,3.117444737956378e-06,4.28339546686041e-06,6.103786680827584e-07,9.838505973177922e-07,5.59504495153688e-06,8.754786681211529e-07,1.5133186532084826e-10,8.780438878419916e-08,8.044193176714985e-07,9.030566775300967e-07,5.809755305178724e-07,1.6690038518517066e-06,1.0906789219603255e-05,7.724193920912078e-07,1.016803273159866e-07,2.624687824944024e-07,4.3739733397756754e-06,9.434656166153216e-06
8,1.371292279722108e-06,1.0791592887622012e-06,1.7018237180172084e-07,1.285419968964898e-06,3.482784907144517e-06,4.565292658789878e-09,4.8937145410444925e-06,8.081829949005213e-08,1.0686955770647832e-06,8.047771152742669e-07,4.5798608747483373e-07,2.14673409683581e-08,3.4990618500303183e-06,1.285430305986819e-06,1.5958406875408076e-06,9.691127283702167e-07,8.714351247749038e-06,1.5019964017616304e-06,1.4451675718870541e-08,2.9221156625419423e-07,0.00029193592571151325,6.366820714249776e-07,1.4804602997220745e-07,8.483517395694574e-08,4.763100940821691e-09,2.0836476438242054e-06,2.8874235598851957e-06,1.292785401826805e-07,5.555828703488538e-07,1.1549135884870447e-06,6.062327588723104e-07,1.0260884260184999e-05,4.489117205999542e-07,1.774276836142484e-06,3.408663536969479e-08,2.3247863186376666e-06,2.3747106582649293e-06,1.0546797687195286e-08,6.703699220950262e-07,1.9901876693819657e-05,1.996714237640065e-07,3.648472330531187e-07,4.173226707456715e-08,5.197746220748872e-06,2.2702026424459266e-08,6.23999084995835e-07,4.349616888914538e-08,1.0483241948591587e-08,0.00010677581383769288,7.312339284317255e-06,7.57917774330833e-08,5.249823871684916e-07,3.9201834549635666e-06,1.2306500732542097e-05,1.8481925022443632e-07,1.4175714139454183e-07,6.701880176639669e-08,4.588445520909448e-08,1.3296311788422389e-07,4.135767625681715e-06,9.42328252716114e-07,7.21734835230355e-08,1.0868102949155232e-07,1.4254697260004819e-08,9.39696413160964e-06,8.22534606033207e-09,4.811114771661068e-07,6.593068178244497e-07,3.3421711633832403e-09,1.6126434090390655e-05,1.4887300291495555e-06,9.292268954954796e-08,1.785574907161997e-07,5.590214005817254e-07,1.9302791560688138e-07,2.5129119747386345e-07,1.0633016694964779e-07,3.3248970760454534e-07,6.379908734731372e-08,1.2397953340286689e-06,4.281698148748301e-09,1.5851166218088405e-07,3.3208580784308433e-07,2.046976372725998e-06,2.5193071818764604e-06,3.0098939717625324e-07,1.1886449774662591e-07,5.59504495153688e-06,1.2913164939434717e-07,1.5133186532084826e-10,8.780438878419916e-08,5.843374021718482e-07,1.0784821606043333e-07,4.246423928655227e-07,1.6690038518517066e-06,3.0503845423934884e-07,2.5939047373908873e-07,9.937796933747587e-08,2.624687824944024e-07,4.228740213774824e-06,5.643023831711963e-06
9,6.652587272553509e-07,9.784585151549115e-07,1.7018237180172084e-07,2.141973340396519e-07,2.916202173152082e-06,4.565292658789878e-09,4.8937145410444925e-06,8.081829949005213e-08,1.5283910938529896e-07,6.224163468935753e-08,7.875340217436546e-08,2.14673409683581e-08,2.30373840808986e-08,1.285430305986819e-06,1.0909853689173543e-07,9.691127283702167e-07,3.320351288893641e-08,5.384026638570887e-07,1.4451675718870541e-08,8.02969043964845e-08,0.00029193592571151325,5.023266809359738e-07,6.7695819169993e-08,3.665604864760226e-09,4.763100940821691e-09,2.0836476438242054e-06,1.8512258796560734e-07,1.292785401826805e-07,5.565574371762835e-09,1.1549135884870447e-06,1.4766901485340935e-07,9.812366219213451e-06,4.489117205999542e-07,2.266674042024367e-07,1.009943082828699e-08,2.3247863186376666e-06,2.292991138083731e-06,1.0546797687195286e-08,6.703699220950262e-07,1.9901876693819657e-05,9.468724624339691e-08,7.449463306045762e-08,4.173226707456715e-08,5.197746220748872e-06,5.54149602317806e-09,1.1992845814426352e-08,4.349616888914538e-08,6.235493917544168e-09,0.00010677581383769288,7.377076214096835e-08,3.8854257642239026e-08,1.9415273896880058e-07,2.774440780226948e-07,6.793613324358486e-07,1.8481925022443632e-07,1.4175714139454183e-07,6.701880176639669e-08,1.717436295975294e-08,5.963293063128152e-08,9.81782106032588e-07,4.981336834496135e-08,7.21734835230355e-08,1.9111325943656397e-08,1.4254697260004819e-08,8.492626795483914e-07,8.22534606033207e-09,2.0235346179432547e-07,6.593068178244497e-07,3.3421711633832403e-09,1.147540274710123e-05,1.4887300291495555e-06,9.292268954954796e-08,1.3384301030144748e-07,4.4745072346564247e-07,1.880370739763127e-07,2.5129119747386345e-07,1.0633016694964779e-07,3.025448191675502e-07,9.540439451612122e-09,4.214223062262254e-08,4.281698148748301e-09,1.5851166218088405e-07,1.383100690082982e-07,5.420598250670218e-07,1.2938405806315472e-06,7.398377098612555e-09,1.0566975903168441e-07,5.59504495153688e-06,7.217173703681165e-08,1.5133186532084826e-10,8.780438878419916e-08,5.843374021718482e-07,1.8075057807645084e-08,1.5425139461699656e-08,9.467908782071653e-07,3.971956951823456e-09,2.5939047373908873e-07,3.966640266391862e-10,1.7367491428841708e-07,1.0989063088547602e-08,4.866128043467709e-06
