currentGen,meanFitness,meanTime
0,0.0043782220985446865,0.00019006013870239257
1,0.0035614985990953755,0.0006101250648498536
2,0.002841918745260765,0.0010402274131774902
3,0.0024342463622716516,0.0014203095436096191
4,0.0021249818011465057,0.0018403863906860352
5,0.0016703823449647512,0.0021804690361022947
6,0.0012768706496983874,0.0025805902481079103
7,0.0010866241483823808,0.0030407047271728514
8,0.0009274901012647799,0.0034608173370361327
9,0.000746660623925451,0.003890941143035889
10,0.0006192983515802729,0.00425100564956665
11,0.0004955700280872665,0.004671106338500977
12,0.000422237382198975,0.005021157264709472
13,0.00035049686001821143,0.005381255149841308
14,0.00026942192507595783,0.005801353454589844
15,0.0002146988289145734,0.006161391735076904
16,0.00019091013027393175,0.006541500091552735
17,0.00016551604476873298,0.0069415831565856935
18,0.00014757036679341183,0.007341701984405518
19,0.00013000016799141122,0.007731730937957764
20,0.00011143371127926991,0.008121795654296875
21,0.00010135594861962858,0.008561916351318359
22,8.147693628596795e-05,0.008941996097564697
23,7.006734658606484e-05,0.009382102489471435
24,6.132918305818188e-05,0.009972209930419923
25,5.024911757095678e-05,0.010322368144989014
26,4.218714976926204e-05,0.01078239917755127
27,3.557962023722687e-05,0.01110248327255249
28,2.994683751537356e-05,0.011532628536224365
29,2.6674842234200353e-05,0.01187272071838379
30,2.0338796802879242e-05,0.012252798080444336
