currentGen,meanFitness,meanTime
0,0.002881473381804853,0.00016000986099243164
1,0.0015224370178310148,0.00039003849029541017
2,0.0007441887021294453,0.0008001613616943359
3,0.00036896021527824135,0.001210169792175293
4,0.00023542363738962495,0.0015502309799194337
5,0.00011898876918495871,0.0020403671264648438
6,5.7367748499012975e-05,0.002390475273132324
7,2.730021138388377e-05,0.002890622615814209
8,9.179289409088867e-06,0.0032607293128967285
9,4.773412732541726e-06,0.0036808180809020995
10,3.003434984384936e-06,0.0040708971023559574
11,1.4689826972368061e-06,0.004440948963165283
12,9.024658082512326e-07,0.004891071319580078
13,3.99838000547762e-07,0.005301165580749512
14,2.8398059884655557e-07,0.005681231021881104
15,1.470713637911521e-07,0.006061301231384277
16,7.853223630401356e-08,0.006371331214904785
17,3.476498203020669e-08,0.0068314909934997555
18,2.3655479407974064e-08,0.007191588878631592
19,1.2574639620259132e-08,0.007521660327911377
20,7.711684215867002e-09,0.00795180320739746
21,4.270932388275376e-09,0.008331873416900636
22,2.75296761768244e-09,0.008801934719085693
23,1.7618057216976233e-09,0.00915203332901001
24,1.2983275646012913e-09,0.009692118167877198
25,7.30800991870488e-10,0.010052223205566407
26,3.1525301041098214e-10,0.010452299118041993
27,1.8130058261915262e-10,0.010852422714233399
28,1.4008883846900858e-10,0.011312539577484132
29,9.723546755897403e-11,0.011642630100250245
30,7.282731883636154e-11,0.01209265947341919
